date,country,fuel_type,price_eur_per_litre
2005-01-24,PT,diesel,0.8288300000000001
2005-01-24,PT,fuel_oil,0.23527
2005-01-24,PT,lpg,0.545
2005-01-24,PT,petrol_95,0.9970399999999999
2005-01-24,SE,diesel,0.9899
2005-01-24,SE,fuel_oil,0.63974
2005-01-24,SE,petrol_95,1.10909
2005-01-24,SI,diesel,0.83372
2005-01-24,SI,fuel_oil,0.2531
2005-01-24,SI,lpg,0.54392
2005-01-24,SI,petrol_95,0.8362200000000001
2005-01-24,SK,diesel,0.8726
2005-01-24,SK,fuel_oil,0.19419999999999998
2005-01-24,SK,lpg,0.51321
2005-01-24,SK,petrol_95,0.87597
2005-01-24,UK,diesel,1.20565
2005-01-24,UK,fuel_oil,0.2334
2005-01-24,UK,petrol_95,1.1347
2005-01-31,AT,diesel,0.855
2005-01-31,AT,fuel_oil,0.21669999999999998
2005-01-31,AT,heating_oil,0.5130399999999999
2005-01-31,AT,petrol_95,0.935
2005-01-31,BE,diesel,0.87133
2005-01-31,BE,fuel_oil,0.16618
2005-01-31,BE,lpg,0.389
2005-01-31,BE,petrol_95,1.109
2005-01-31,CY,diesel,0.74606
2005-01-31,CY,petrol_95,0.76286
2005-01-31,CZ,diesel,0.81374
2005-01-31,CZ,fuel_oil,0.16354
2005-01-31,CZ,lpg,0.49486
2005-01-31,CZ,petrol_95,0.80936
2005-01-31,DE,diesel,0.9692999999999999
2005-01-31,DE,fuel_oil,0.1733
2005-01-31,DE,lpg,0.5229
2005-01-31,DE,petrol_95,1.1133
2005-01-31,DK,diesel,0.9299
2005-01-31,DK,fuel_oil,0.53442
2005-01-31,DK,petrol_95,1.1274300000000002
2005-01-31,EE,diesel,0.7036699999999999
2005-01-31,EE,fuel_oil,0.11325
2005-01-31,EE,lpg,0.43460000000000004
2005-01-31,EE,petrol_95,0.68833
2005-01-31,ES,diesel,0.81311
2005-01-31,ES,fuel_oil,0.22805
2005-01-31,ES,lpg,0.53
2005-01-31,ES,petrol_95,0.86146
2005-01-31,EU,diesel,0.9383097079341998
2005-01-31,EU,fuel_oil,0.26376892269606633
2005-01-31,EU,lpg,0.4911906694806629
2005-01-31,EU,petrol_95,1.0657157299596582
2005-01-31,EUR,diesel,0.915493773811569
2005-01-31,EUR,fuel_oil,0.2235599763776402
2005-01-31,EUR,lpg,0.532884332737251
2005-01-31,EUR,petrol_95,1.0676129763730824
2005-01-31,FI,diesel,0.896
2005-01-31,FI,fuel_oil,0.29968
2005-01-31,FI,petrol_95,1.1022
2005-01-31,FR,diesel,0.9328
2005-01-31,FR,fuel_oil,0.20364
2005-01-31,FR,lpg,0.6161599999999999
2005-01-31,FR,petrol_95,1.08102
2005-01-31,GR,diesel,0.782
2005-01-31,GR,fuel_oil,0.22769999999999999
2005-01-31,GR,petrol_95,0.796
2005-01-31,HU,diesel,0.94032
2005-01-31,HU,fuel_oil,0.19294
2005-01-31,HU,lpg,0.59492
2005-01-31,HU,petrol_95,0.98141
2005-01-31,IE,diesel,0.949
2005-01-31,IE,fuel_oil,0.27193
2005-01-31,IE,petrol_95,0.941
2005-01-31,IT,diesel,1.0226
2005-01-31,IT,fuel_oil,0.24253
2005-01-31,IT,lpg,0.55188
2005-01-31,IT,petrol_95,1.13211
2005-01-31,LT,diesel,0.73345
2005-01-31,LT,fuel_oil,0.25747000000000003
2005-01-31,LT,lpg,0.4293
2005-01-31,LT,petrol_95,0.74258
2005-01-31,LU,diesel,0.744
2005-01-31,LU,fuel_oil,0.17059
2005-01-31,LU,lpg,0.391
2005-01-31,LU,petrol_95,0.943
2005-01-31,LV,diesel,0.7024900000000001
2005-01-31,LV,lpg,0.4008
2005-01-31,LV,petrol_95,0.7139800000000001
2005-01-31,MT,diesel,0.83275
2005-01-31,MT,fuel_oil,0.17592
2005-01-31,MT,petrol_95,0.86987
2005-01-31,NL,diesel,0.915
2005-01-31,NL,fuel_oil,0.223
2005-01-31,NL,lpg,0.475
2005-01-31,NL,petrol_95,1.269
2005-01-31,PL,diesel,0.82708
2005-01-31,PL,fuel_oil,0.17742
2005-01-31,PL,lpg,0.45606
2005-01-31,PL,petrol_95,0.89325
2005-01-31,PT,diesel,0.8270299999999999
2005-01-31,PT,fuel_oil,0.23527
2005-01-31,PT,lpg,0.56
2005-01-31,PT,petrol_95,1.0138099999999999
2005-01-31,SE,diesel,1.00596
2005-01-31,SE,fuel_oil,0.63806
2005-01-31,SE,petrol_95,1.11469
2005-01-31,SI,diesel,0.83372
2005-01-31,SI,fuel_oil,0.2531
2005-01-31,SI,lpg,0.54392
2005-01-31,SI,petrol_95,0.8362200000000001
2005-01-31,SK,diesel,0.8818400000000001
2005-01-31,SK,fuel_oil,0.19649
2005-01-31,SK,lpg,0.51873
2005-01-31,SK,petrol_95,0.88839
2005-01-31,UK,diesel,1.21854
2005-01-31,UK,fuel_oil,0.24177
2005-01-31,UK,petrol_95,1.15076
2005-02-07,AT,diesel,0.854
2005-02-07,AT,fuel_oil,0.22169999999999998
2005-02-07,AT,heating_oil,0.50666
2005-02-07,AT,petrol_95,0.933
2005-02-07,BE,diesel,0.863
2005-02-07,BE,fuel_oil,0.17665
2005-02-07,BE,lpg,0.389
2005-02-07,BE,petrol_95,1.115
2005-02-07,CY,diesel,0.73777
2005-02-07,CY,petrol_95,0.76351
2005-02-07,CZ,diesel,0.81953
2005-02-07,CZ,fuel_oil,0.17579
2005-02-07,CZ,lpg,0.48463999999999996
2005-02-07,CZ,petrol_95,0.8186599999999999
2005-02-07,DE,diesel,0.9582999999999999
2005-02-07,DE,fuel_oil,0.1775
2005-02-07,DE,lpg,0.5229
2005-02-07,DE,petrol_95,1.1268
2005-02-07,DK,diesel,0.90412
2005-02-07,DK,fuel_oil,0.53831
2005-02-07,DK,petrol_95,1.11772
2005-02-07,EE,diesel,0.72284
2005-02-07,EE,fuel_oil,0.11325
2005-02-07,EE,lpg,0.43460000000000004
2005-02-07,EE,petrol_95,0.70175
2005-02-07,ES,diesel,0.8133400000000001
2005-02-07,ES,fuel_oil,0.23261
2005-02-07,ES,lpg,0.53
2005-02-07,ES,petrol_95,0.87258
2005-02-07,EU,diesel,0.9370006657337132
2005-02-07,EU,fuel_oil,0.2680827765409143
2005-02-07,EU,lpg,0.4911719060140566
2005-02-07,EU,petrol_95,1.0745548957109499
2005-02-07,EUR,diesel,0.9123893266111468
2005-02-07,EUR,fuel_oil,0.2284892483284323
2005-02-07,EUR,lpg,0.532864359869273
2005-02-07,EUR,petrol_95,1.0745732432977078
2005-02-07,FI,diesel,0.878
2005-02-07,FI,fuel_oil,0.29701
2005-02-07,FI,petrol_95,1.09446
2005-02-07,FR,diesel,0.9308
2005-02-07,FR,fuel_oil,0.20289
2005-02-07,FR,lpg,0.61613
2005-02-07,FR,petrol_95,1.0871099999999998
2005-02-07,GR,diesel,0.786
2005-02-07,GR,fuel_oil,0.22587000000000002
2005-02-07,GR,petrol_95,0.805
2005-02-07,HU,diesel,0.9466100000000001
2005-02-07,HU,fuel_oil,0.20784
2005-02-07,HU,lpg,0.59722
2005-02-07,HU,petrol_95,0.98802
2005-02-07,IE,diesel,0.949
2005-02-07,IE,fuel_oil,0.27545
2005-02-07,IE,petrol_95,0.941
2005-02-07,IT,diesel,1.02267
2005-02-07,IT,fuel_oil,0.25024
2005-02-07,IT,lpg,0.55188
2005-02-07,IT,petrol_95,1.13587
2005-02-07,LT,diesel,0.73998
2005-02-07,LT,fuel_oil,0.22416999999999998
2005-02-07,LT,lpg,0.42922000000000005
2005-02-07,LT,petrol_95,0.75041
2005-02-07,LU,diesel,0.744
2005-02-07,LU,fuel_oil,0.17059
2005-02-07,LU,lpg,0.396
2005-02-07,LU,petrol_95,0.943
2005-02-07,LV,diesel,0.7096699999999999
2005-02-07,LV,lpg,0.4008
2005-02-07,LV,petrol_95,0.7226
2005-02-07,MT,diesel,0.83469
2005-02-07,MT,fuel_oil,0.17633000000000001
2005-02-07,MT,petrol_95,0.8718899999999999
2005-02-07,NL,diesel,0.915
2005-02-07,NL,fuel_oil,0.223
2005-02-07,NL,lpg,0.474
2005-02-07,NL,petrol_95,1.267
2005-02-07,PL,diesel,0.84703
2005-02-07,PL,fuel_oil,0.18096
2005-02-07,PL,lpg,0.45607
2005-02-07,PL,petrol_95,0.9290499999999999
2005-02-07,PT,diesel,0.8268099999999999
2005-02-07,PT,fuel_oil,0.24330000000000002
2005-02-07,PT,lpg,0.575
2005-02-07,PT,petrol_95,1.02203
2005-02-07,SE,diesel,0.98211
2005-02-07,SE,fuel_oil,0.63214
